VCD info: dumpfile waveforms/pll_full.vcd opened for output.

============================================
PLL STARTED
Reference clock = 10 MHz
TDC clock       = 200 MHz
Control clock   = 50 MHz
Divider         = 4
Initial VCO target approximately 40 MHz
Stable-lock requirement = 1000 ctrl cycles = 20.00 us
============================================

time=32330000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=32430000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=32530000 state=2 error=20 tuning=608 kp=0 ki=0 locked=0
time=32630000 state=2 error=0 tuning=608 kp=0 ki=0 locked=0
time=32730000 state=2 error=0 tuning=608 kp=0 ki=0 locked=0
time=32830000 state=2 error=0 tuning=608 kp=0 ki=0 locked=0
time=32930000 state=2 error=0 tuning=608 kp=0 ki=0 locked=0
time=33030000 state=2 error=0 tuning=608 kp=0 ki=0 locked=0
time=33130000 state=2 error=0 tuning=608 kp=0 ki=0 locked=0
time=33230000 state=2 error=0 tuning=608 kp=0 ki=0 locked=0
time=33330000 state=2 error=0 tuning=608 kp=0 ki=0 locked=0
time=33430000 state=2 error=0 tuning=608 kp=0 ki=0 locked=0
time=33530000 state=2 error=0 tuning=608 kp=0 ki=0 locked=0
time=33630000 state=2 error=0 tuning=608 kp=0 ki=0 locked=0
time=33730000 state=2 error=0 tuning=608 kp=0 ki=0 locked=0
time=33830000 state=2 error=0 tuning=608 kp=0 ki=0 locked=0
time=33950000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=34050000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=34150000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=34250000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=34350000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=34450000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=34550000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=34650000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=34750000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=34850000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=34950000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=35050000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=35150000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=35250000 state=2 error=1 tuning=608 kp=0 ki=0 locked=0
time=35350000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=35450000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=35550000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=35650000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=35750000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=35850000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=35950000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=36050000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=36150000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=36250000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=36350000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=36450000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=36550000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=36650000 state=2 error=2 tuning=608 kp=0 ki=0 locked=0
time=36750000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=36850000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=36950000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=37050000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=37150000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=37250000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=37350000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=37450000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=37550000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=37650000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=37750000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=37850000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=37950000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=38050000 state=2 error=3 tuning=608 kp=0 ki=0 locked=0
time=38150000 state=2 error=4 tuning=608 kp=0 ki=0 locked=0
time=38250000 state=2 error=4 tuning=608 kp=0 ki=0 locked=0
time=38350000 state=2 error=4 tuning=608 kp=0 ki=0 locked=0
time=38450000 state=2 error=4 tuning=608 kp=0 ki=0 locked=0
